Time (UNIX),Temperature (c),Relative Humidity (%)
"1366799254","19.90","49.60"
"1366799260","19.90","49.50"
"1366799265","20.00","49.50"
"1366799271","20.00","49.50"
"1366799277","20.00","49.40"
"1366799282","20.00","49.40"
"1366799288","20.00","49.40"
"1366799293","20.00","49.40"
"1366799299","20.10","49.50"
"1366799304","20.10","49.40"
"1366799310","20.10","49.30"
"1366799315","20.10","49.20"
"1366799321","20.10","49.10"
"1366799327","20.20","49.10"
"1366799332","20.20","49.10"
"1366799338","20.20","49.10"
"1366799343","20.20","49.00"
"1366799349","20.20","49.00"
"1366799354","20.20","49.00"
"1366799360","20.20","48.90"
"1366799365","20.20","48.90"
"1366799371","20.30","48.90"
"1366799377","20.30","48.90"
"1366799382","20.30","48.90"
"1366799388","20.30","48.80"
"1366799393","20.40","48.70"
"1366799399","20.30","48.80"
"1366799404","20.40","48.70"
"1366799410","20.40","48.70"
"1366799415","20.40","48.70"
"1366799421","20.40","48.70"
"1366799427","20.50","48.70"
"1366799432","20.40","48.60"
"1366799438","20.40","48.50"
"1366799443","20.40","48.50"
"1366799449","20.50","48.60"
"1366799454","20.50","48.60"
"1366799460","20.50","48.60"
"1366799465","20.50","48.60"
"1366799471","20.50","48.50"
"1366799477","20.50","48.40"
"1366799482","20.60","48.40"
"1366799488","20.60","48.50"
"1366799493","20.60","48.50"
"1366799499","20.60","48.40"
"1366799504","20.60","48.30"
"1366799510","20.70","48.30"
"1366799515","20.60","48.20"
"1366799521","20.70","48.20"
"1366799527","20.70","48.20"
"1366799532","20.70","48.20"
"1366799538","20.70","48.20"
